alg,dset,set,time,rmse,logp
pbp,energy,3,3.5664632320404053,1.9391699854974425,-2.0878944421105605
pbp,energy,4,3.850042819976807,1.5573162984787816,-1.9407903398998592
pbp,energy,5,3.8696792125701904,1.4719456214537554,-1.9194152926040728
pbp,energy,6,3.5626540184021,1.6824600305759485,-1.982184383202678
pbp,energy,7,3.571352958679199,1.709219563986863,-1.998853324814141
pbp,energy,8,3.929901838302612,1.519508953703993,-1.940004714685303
pbp,energy,9,3.57564640045166,1.8757722824471408,-2.059355747459621
svgd,energy,0,9.099506855010986,0.9273505806922911,-1.660055274207206
svgd,energy,1,9.024023056030272,1.2016953229904177,-1.7568091902119438
svgd,energy,2,9.01625394821167,1.0628228187561035,-1.6920894135601137
svgd,energy,3,9.307815790176392,1.576687932014465,-1.8812923589979345
svgd,energy,4,9.09624409675598,0.9927874803543092,-1.690675667659622
svgd,energy,5,9.031106233596802,1.0085833072662354,-1.6827939106900227
svgd,energy,6,8.990437746047974,1.2471343278884888,-1.7429657341613811
svgd,energy,7,9.301113843917848,1.2291152477264404,-1.7599778006932123
svgd,energy,8,9.17526912689209,0.9214205741882324,-1.6755994140018988
svgd,energy,9,8.987085103988647,1.261595606803894,-1.7810179864543083
svgd_orig,energy,0,5.425442218780518,1.189642922538845,-1.5946298194660533
svgd_orig,energy,1,5.50740122795105,1.4093090878311554,-1.7621590939209189
svgd_orig,energy,2,5.418116092681885,1.3560353625649952,-1.726756173415718
svgd_orig,energy,3,5.474202871322632,1.7372921062466138,-2.035393391762806
svgd_orig,energy,4,5.438730955123901,1.5028171440706335,-1.8461658274385688
svgd_orig,energy,5,5.515891075134277,1.3348919007575846,-1.7187881211108194
svgd_orig,energy,6,5.46903395652771,1.5244103249148162,-1.8410281016844992
svgd_orig,energy,7,5.452362775802612,1.5138928707265569,-1.840927582454744
svgd_orig,energy,8,5.492878198623657,1.2570422307724178,-1.6497587330669443
svgd_orig,energy,9,5.4497716426849365,1.385714927095555,-1.7904941787713675
pbp,kin8nm,0,27.735536098480225,0.1018573949730063,0.8651055335365281
pbp,kin8nm,1,28.38274002075196,0.0995288824919553,0.8879003898707158
pbp,kin8nm,2,27.703386783599854,0.0988729411599021,0.8926169400206363
pbp,kin8nm,3,27.846686840057373,0.0949000139033989,0.9281246874041206
pbp,kin8nm,4,28.64090681076049,0.0967408583808265,0.90915409990703
pbp,kin8nm,5,32.14313006401062,0.1014126849267642,0.8686783313901278
pbp,kin8nm,6,29.169834852218628,0.0967379098006143,0.909266648078984
pbp,kin8nm,7,28.008599042892456,0.0986773337635166,0.8902112329502625
pbp,kin8nm,8,27.80239605903625,0.0936121273741863,0.9354124314947224
pbp,kin8nm,9,27.74093699455261,0.1051040973342944,0.8320192862165574
svgd,kin8nm,0,35.63650679588318,0.0790613740682601,1.0746254138961842
svgd,kin8nm,1,35.815550804138184,0.0826739221811294,1.0753304906799683
svgd,kin8nm,2,35.619086265563965,0.0765755921602249,1.1297747819020212
svgd,kin8nm,3,35.785799980163574,0.0726037323474884,1.2041200275911927
svgd,kin8nm,4,35.562182903289795,0.0740509033203125,1.1510924102695508
svgd,kin8nm,5,35.55228281021118,0.0796476155519485,1.0903057584168596
svgd,kin8nm,6,40.83957505226135,0.0775912031531333,1.0904145397711875
svgd,kin8nm,7,34.97836899757385,0.0732370242476463,1.1729809508636335
svgd,kin8nm,8,35.08427286148071,0.0756133198738098,1.1560269572239474
svgd,kin8nm,9,35.192787885665894,0.0779754221439361,1.1046400463656696
svgd_orig,kin8nm,0,5.486838102340698,0.1264476248377597,0.6482986415409793
svgd_orig,kin8nm,1,5.447871923446655,0.1239306798887229,0.6687709559801654
svgd_orig,kin8nm,2,5.520039319992065,0.1204501143373046,0.696046822106861
svgd_orig,kin8nm,3,5.4554057121276855,0.1225305108493269,0.6798945830329154
svgd_orig,kin8nm,4,5.486138105392456,0.1191927951340763,0.7053484520068302
svgd_orig,kin8nm,5,5.531736135482788,0.1208623157607261,0.6874860468785362
svgd_orig,kin8nm,6,5.452700853347778,0.1232249712251249,0.6745790514842612
svgd_orig,kin8nm,7,5.453377723693848,0.1176665993549904,0.7134609253713945
svgd_orig,kin8nm,8,5.450916767120361,0.1114522168902191,0.7570856411543573
svgd_orig,kin8nm,9,5.495311975479126,0.1243082407567742,0.6645553078260633
pbp,naval,0,42.140923738479614,0.0061543461874883,3.6644682304813903
pbp,naval,1,41.55008888244629,0.0055005156688668,3.7658692262418336
pbp,naval,2,41.64799213409424,0.0054826420442886,3.752515727896912
pbp,naval,3,41.343507051467896,0.0054842864640688,3.757498801318704
pbp,naval,4,46.48928904533386,0.0058111695060249,3.7139753583261976
pbp,naval,5,42.9994421005249,0.005594423374099,3.7420891347447856
pbp,naval,6,43.65060997009277,0.0057517514530035,3.725491566801767
pbp,naval,7,41.76216387748718,0.0057035669757646,3.733435314029329
pbp,naval,8,42.57704710960388,0.0054962069969275,3.760411413649517
pbp,naval,9,42.40248990058899,0.005368482802459,3.783700404963783
svgd,naval,0,57.255850076675415,0.0010322168236598,5.701414817221041
svgd,naval,1,55.53018093109131,0.0011597165139392,5.5450553789914165
svgd,naval,2,55.68913793563843,0.0014259205199778,5.375673410746644
svgd,naval,3,55.553263902664185,0.000855435617268,5.78396843890302
svgd,naval,4,62.05479097366333,0.0009593934519216,5.674952188607008
svgd,naval,5,55.353171825408936,0.0009327124571427,5.757066884559151
svgd,naval,6,62.99605703353882,0.0009770219912752,5.63049946064891
svgd,naval,7,56.72659420967102,0.0007893542642705,5.753932251141601
svgd,naval,8,56.05646681785584,0.0009693177998997,5.717169413358132
svgd,naval,9,59.77011179924011,0.0010332842357456,5.639145896885475
svgd_orig,naval,0,7.0022149085998535,0.0081216541137269,3.3937341960106404
svgd_orig,naval,1,6.972912788391113,0.0075938759909251,3.4594560414185
svgd_orig,naval,2,7.083465099334717,0.0077261810013302,3.4422858876252884
svgd_orig,naval,3,6.965973138809204,0.0075177548909639,3.471278784511976
svgd_orig,naval,4,7.000101804733276,0.0078951366933127,3.422396460793575
svgd_orig,naval,5,7.379570960998535,0.0078860189858077,3.4215652266254337
svgd_orig,naval,6,7.0728490352630615,0.0080670116914531,3.399181854661742
svgd_orig,naval,7,6.965245008468628,0.0082989091960878,3.3695512540913746
svgd_orig,naval,8,6.96252179145813,0.0076681656481117,3.45115313773235
svgd_orig,naval,9,7.293756723403931,0.0076296631669489,3.456366962514425
pbp,power,0,31.84686088562012,4.3122944774955565,-2.883389251159328
pbp,power,1,31.849603176116943,3.8806477200635823,-2.778083419753217
pbp,power,2,32.78757691383362,4.138797434518726,-2.8392629855168203
pbp,power,3,33.125792026519775,4.267451930354426,-2.871980871787128
pbp,power,4,32.964274883270264,4.297244732626846,-2.8799185480726712
pbp,power,5,31.79842710494995,4.162742586626854,-2.8452939382174347
pbp,power,6,31.893776178359985,4.0573624353303925,-2.819572478274252
pbp,power,7,32.55537724494934,3.892914616105796,-2.7810234051630545
pbp,power,8,32.23159408569336,4.288461573145885,-2.8772234796063136
pbp,power,9,34.058743953704834,4.131485008811802,-2.8376298945349148
svgd,power,0,42.80094623565674,4.31117582321167,-3.093911539174344
